test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
slk,14,0.776,0.767,0.785,0.97,eng,2
slk,15,0.776,0.767,0.785,0.971,eng,2
eng,1,0.715,0.684,0.748,0.968,eng,1
eng,2,0.708,0.681,0.737,0.967,eng,1
eng,3,0.74,0.778,0.705,0.972,eng,1
eng,4,0.722,0.672,0.781,0.969,eng,1
eng,5,0.726,0.696,0.759,0.969,eng,1
eng,6,0.734,0.724,0.745,0.97,eng,1
eng,7,0.735,0.732,0.737,0.972,eng,1
eng,8,0.736,0.739,0.734,0.971,eng,1
eng,9,0.743,0.728,0.759,0.971,eng,1
eng,10,0.736,0.708,0.766,0.971,eng,1
eng,11,0.766,0.785,0.748,0.973,eng,1
eng,12,0.749,0.726,0.773,0.971,eng,1
eng,13,0.755,0.74,0.77,0.971,eng,1
eng,14,0.751,0.743,0.759,0.972,eng,1
eng,15,0.743,0.728,0.759,0.971,eng,1
swe,1,0.817,0.797,0.838,0.991,eng,1
swe,2,0.818,0.804,0.832,0.991,eng,1
swe,3,0.828,0.839,0.817,0.991,eng,1
swe,4,0.819,0.801,0.838,0.991,eng,1
swe,5,0.84,0.828,0.853,0.992,eng,1
swe,6,0.856,0.854,0.858,0.992,eng,1
swe,7,0.845,0.847,0.843,0.992,eng,1
swe,8,0.861,0.859,0.863,0.993,eng,1
swe,9,0.851,0.845,0.858,0.992,eng,1
swe,10,0.85,0.837,0.863,0.992,eng,1
swe,11,0.842,0.858,0.827,0.992,eng,1
swe,12,0.869,0.864,0.873,0.993,eng,1
swe,13,0.864,0.859,0.868,0.993,eng,1
swe,14,0.864,0.859,0.868,0.993,eng,1
swe,15,0.869,0.864,0.873,0.993,eng,1
nor,1,0.788,0.747,0.835,0.986,eng,1
nor,2,0.767,0.731,0.806,0.984,eng,1
nor,3,0.786,0.776,0.796,0.984,eng,1
nor,4,0.772,0.726,0.824,0.985,eng,1
nor,5,0.799,0.761,0.842,0.986,eng,1
nor,6,0.828,0.797,0.86,0.988,eng,1
