test_lang,epoch,F1,precision,recall,accuracy,targ_lang,group
eng,2,0.721,0.746,0.698,0.969,dan,1
eng,3,0.732,0.758,0.709,0.971,dan,1
eng,4,0.673,0.688,0.658,0.964,dan,1
eng,5,0.658,0.698,0.622,0.963,dan,1
eng,6,0.675,0.689,0.662,0.965,dan,1
eng,7,0.696,0.713,0.68,0.967,dan,1
eng,8,0.679,0.685,0.673,0.965,dan,1
eng,9,0.695,0.702,0.687,0.967,dan,1
eng,10,0.719,0.725,0.712,0.967,dan,1
eng,11,0.689,0.714,0.665,0.965,dan,1
eng,12,0.683,0.697,0.669,0.965,dan,1
eng,13,0.691,0.711,0.673,0.966,dan,1
eng,14,0.675,0.685,0.665,0.964,dan,1
eng,15,0.692,0.709,0.676,0.966,dan,1
eng,16,0.683,0.697,0.669,0.965,dan,1
eng,17,0.67,0.679,0.662,0.963,dan,1
eng,18,0.68,0.688,0.673,0.964,dan,1
eng,19,0.687,0.695,0.68,0.963,dan,1
eng,20,0.681,0.69,0.673,0.964,dan,1
swe,1,0.84,0.814,0.868,0.992,dan,1
swe,2,0.885,0.888,0.883,0.993,dan,1
swe,3,0.875,0.898,0.853,0.993,dan,1
swe,4,0.861,0.859,0.863,0.993,dan,1
swe,5,0.867,0.892,0.843,0.993,dan,1
swe,6,0.875,0.881,0.868,0.992,dan,1
swe,7,0.882,0.891,0.873,0.992,dan,1
swe,8,0.869,0.864,0.873,0.993,dan,1
swe,9,0.887,0.901,0.873,0.993,dan,1
swe,10,0.883,0.887,0.878,0.992,dan,1
swe,11,0.896,0.894,0.898,0.993,dan,1
swe,12,0.895,0.902,0.888,0.993,dan,1
swe,13,0.882,0.891,0.873,0.992,dan,1
swe,14,0.864,0.875,0.853,0.991,dan,1
swe,15,0.889,0.905,0.873,0.992,dan,1
swe,16,0.883,0.887,0.878,0.992,dan,1
swe,17,0.885,0.888,0.883,0.993,dan,1
swe,18,0.895,0.906,0.883,0.993,dan,1
swe,19,0.89,0.897,0.883,0.993,dan,1
swe,20,0.895,0.906,0.883,0.993,dan,1
nor,1,0.826,0.795,0.86,0.987,dan,1
